Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2297304,-,-,-,33.66,-101.69,0,973,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Dew Point,Cloud Type,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Speed,Wind Direction
2020,1,1,0,0,3.3000000000000003,0,0,-5.6000000000000005,0,52.17,92.97,0.7000000000000001,1.7000000000000002,197
2020,1,1,1,0,2.6,0,0,-5.7,0,54.370000000000005,104.53,0.7000000000000001,1.9000000000000001,197
2020,1,1,2,0,2.1,0,0,-5.6000000000000005,0,56.74,116.60000000000001,0.7000000000000001,2,199
2020,1,1,3,0,1.8,0,0,-5.300000000000001,0,59.230000000000004,128.96,0.7000000000000001,2.3000000000000003,205
2020,1,1,4,0,1.7000000000000002,0,0,-4.9,0,61.65,141.43,0.7000000000000001,2.6,212
2020,1,1,5,0,1.4000000000000001,0,0,-4.4,0,65.27,153.69,0.7000000000000001,2.9000000000000004,219
2020,1,1,6,0,1.3,0,0,-4,0,67.96000000000001,164.74,0.8,3.3000000000000003,222
2020,1,1,7,0,1,0,0,-3.6,0,71.60000000000001,169.15,0.8,3.8000000000000003,226
2020,1,1,8,0,0.6000000000000001,0,0,-3.3000000000000003,0,75.41,161.33,0.7000000000000001,3.9000000000000004,230
2020,1,1,9,0,0.1,0,0,-3,0,79.43,149.65,0.8,3.9000000000000004,233
2020,1,1,10,0,-0.5,0,0,-2.9000000000000004,0,83.73,137.26,0.8,3.8000000000000003,236
2020,1,1,11,0,-0.9,0,0,-2.9000000000000004,0,86.3,124.8,0.7000000000000001,3.8000000000000003,239
2020,1,1,12,0,-1.3,0,0,-3.1,0,87.46000000000001,112.51,0.7000000000000001,3.9000000000000004,241
2020,1,1,13,0,-1.6,0,0,-3.6,0,85.95,100.58,0.7000000000000001,3.9000000000000004,244
2020,1,1,14,0,-0.6000000000000001,15,15,-4.4,0,75.68,88.88,0.7000000000000001,4.6000000000000005,250
2020,1,1,15,0,2.4000000000000004,179,179,-4.800000000000001,0,58.81,78.71000000000001,0.6000000000000001,4.9,254
2020,1,1,16,0,6.7,357,357,-4.7,0,44.050000000000004,69.60000000000001,0.6000000000000001,4.800000000000001,252
2020,1,1,17,0,11.5,498,498,-5.1000000000000005,0,31.02,62.410000000000004,0.6000000000000001,6.4,264
2020,1,1,18,0,14.4,584,584,-5.1000000000000005,0,25.53,57.88,0.6000000000000001,7.300000000000001,263
2020,1,1,19,0,15.9,606,606,-5.2,0,23.03,56.68,0.6000000000000001,7.5,252
2020,1,1,20,0,16.5,563,563,-5.2,1,22.16,59.01,0.6000000000000001,7.9,244
2020,1,1,21,0,16.2,462,346,-5,7,23.02,64.49,0.5,7.9,239
2020,1,1,22,0,14.9,306,93,-4.2,6,26.490000000000002,72.38,0.5,6.7,234
