Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2225286,-,-,-,33.58,-102.37,0,1071,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Dew Point,Cloud Type,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Speed,Wind Direction
2023,1,1,0,0,11.3,0,0,2.4000000000000004,3,54.43,92.4,1.2000000000000002,1.9000000000000001,262
2023,1,1,1,0,10.5,0,0,2.4000000000000004,0,57.300000000000004,103.94,1.1,2.2,266
2023,1,1,2,0,10,0,0,2.4000000000000004,7,59.03,116,1.1,2.5,273
2023,1,1,3,0,9.3,0,0,2.2,7,61.08,128.36,1,2.7,279
2023,1,1,4,0,9.8,0,0,2.1,7,58.57,140.84,1.1,2.9000000000000004,283
2023,1,1,5,0,10,0,0,2,6,57.550000000000004,153.14000000000001,1.1,3,284
2023,1,1,6,0,9.8,0,0,2,6,58.370000000000005,164.33,1.1,3.2,284
2023,1,1,7,0,9.600000000000001,0,0,2.1,7,59.480000000000004,169.32,1.1,3.2,284
2023,1,1,8,0,9.3,0,0,2.2,6,61.09,161.87,1.1,3.1,284
2023,1,1,9,0,8.700000000000001,0,0,2.2,6,63.74,150.23,1,2.7,284
2023,1,1,10,0,8.200000000000001,0,0,2.2,6,65.85,137.84,1,2.5,283
2023,1,1,11,0,7.800000000000001,0,0,2.2,6,67.54,125.37,0.9,2.3000000000000003,281
2023,1,1,12,0,7.6000000000000005,0,0,2.2,6,68.41,113.05,0.9,2.1,276
2023,1,1,13,0,7.5,0,0,2.2,6,68.97,101.10000000000001,0.9,2.1,268
2023,1,1,14,0,8.5,0,0,2.3000000000000003,6,65.02,89.31,0.9,2.5,262
2023,1,1,15,0,10.8,168,62,2.6,7,56.78,79.11,1,3.6,259
2023,1,1,16,0,12.600000000000001,344,169,2.9000000000000004,7,51.72,69.92,1.1,3.3000000000000003,256
2023,1,1,17,0,15.100000000000001,482,291,3.5,7,45.800000000000004,62.61,1.2000000000000002,3.1,250
2023,1,1,18,0,18.2,569,369,3.4000000000000004,7,37.230000000000004,57.93,1.2000000000000002,4,253
2023,1,1,19,0,19.6,594,342,2.7,6,32.47,56.56,1.2000000000000002,4.1000000000000005,243
2023,1,1,20,0,20,557,426,2,7,30.29,58.730000000000004,1.1,4.2,234
2023,1,1,21,0,19.700000000000003,456,341,2.2,7,31.21,64.09,1.1,3.5,229
