Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2265447,-,-,-,33.68,-101.99,0,1000,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Dew Point,Cloud Type,Solar Zenith Angle,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction
2022,1,1,0,0,11.8,0,0,7.7,8,92.7,76.05,2.1,3.8000000000000003,217
2022,1,1,1,0,11,0,0,8,8,104.24000000000001,81.65,2,4.3,213
2022,1,1,2,0,10.3,0,0,8.200000000000001,7,116.3,86.63,2.1,5.1000000000000005,219
2022,1,1,3,0,9.9,0,0,8.200000000000001,8,128.65,89.18,2.1,4.5,217
2022,1,1,4,0,9.3,0,0,8.200000000000001,8,141.12,92.8,2.1,3.7,205
2022,1,1,5,0,8.9,0,0,8.200000000000001,7,153.39000000000001,95.49,2.3000000000000003,2.8000000000000003,216
2022,1,1,6,0,9.1,0,0,8.3,7,164.47,94.7,2.3000000000000003,2.7,230
2022,1,1,7,0,9.1,0,0,8.200000000000001,7,169.15,94.07000000000001,2.3000000000000003,3.9000000000000004,233
2022,1,1,8,0,9.4,0,0,8.200000000000001,1,161.55,92.5,2,5.6000000000000005,235
2022,1,1,9,0,9.3,0,0,8.1,5,149.91,92.44,1.2000000000000002,5.800000000000001,229
2022,1,1,10,0,8.5,0,0,6.800000000000001,8,137.54,89.24,0.8,5.9,234
2022,1,1,11,0,7.5,0,0,4.800000000000001,1,125.08,82.91,1,6,240
2022,1,1,12,0,6.5,0,0,3.3000000000000003,0,112.78,79.9,1,5.7,242
2022,1,1,13,0,5.6000000000000005,0,0,2.7,1,100.85000000000001,81.53,0.9,5.300000000000001,244
2022,1,1,14,0,5.9,0,0,2.6,1,89.11,79.60000000000001,0.9,5.300000000000001,246
2022,1,1,15,0,8.1,170,170,2.8000000000000003,0,78.93,69.38,1,5.5,253
2022,1,1,16,0,10.8,344,186,2.4000000000000004,4,69.78,56.22,1.1,5.9,271
2022,1,1,17,0,12.3,484,279,1.9000000000000001,4,62.53,48.9,1.1,5.4,286
2022,1,1,18,0,13.100000000000001,568,381,1.6,4,57.93,45.63,1.2000000000000002,4.4,286
2022,1,1,19,0,13.4,591,409,1.6,3,56.65,44.81,1.2000000000000002,3.9000000000000004,272
2022,1,1,20,0,13.4,549,401,1.4000000000000001,3,58.9,43.980000000000004,1.2000000000000002,4.5,262
2022,1,1,21,0,12.3,447,319,0.6000000000000001,5,64.31,44.78,1.2000000000000002,5.1000000000000005,270
2022,1,1,22,0,9.700000000000001,294,148,-0.30000000000000004,8,72.16,49.83,1.2000000000000002,4.6000000000000005,296
2022,1,1,23,0,5.2,115,26,-1.8,8,81.7,60.81,1.1,4.800000000000001,346
2022,1,2,0,0,0.4,0,0,-4.7,8,92.56,68.42,1,6.800000000000001,8
2022,1,2,1,0,-3.2,0,0,-8.5,8,104.10000000000001,66.93,0.9,7.800000000000001,10
2022,1,2,2,0,-5.6000000000000005,0,0,-11.600000000000001,5,116.16,62.53,0.8,7.9,7
2022,1,2,3,0,-6.7,0,0,-13.8,5,128.52,57.19,0.7000000000000001,7.6000000000000005,2
2022,1,2,4,0,-6.9,0,0,-14.8,5,140.98,53.34,0.6000000000000001,7.2,358
2022,1,2,5,0,-7,0,0,-15.700000000000001,5,153.25,49.86,0.5,6.6000000000000005,354
2022,1,2,6,0,-7.2,0,0,-16.400000000000002,4,164.34,47.870000000000005,0.4,6,348
2022,1,2,7,0,-7.300000000000001,0,0,-16.6,4,169.08,47.49,0.4,5.6000000000000005,341
2022,1,2,8,0,-7.300000000000001,0,0,-16.400000000000002,4,161.58,48.15,0.4,5.2,336
2022,1,2,9,0,-7.300000000000001,0,0,-16.1,4,149.97,49.38,0.4,4.800000000000001,331
2022,1,2,10,0,-7.5,0,0,-15.8,4,137.6,51.31,0.4,4.2,324
2022,1,2,11,0,-7.6000000000000005,0,0,-15.700000000000001,4,125.14,52.51,0.4,3.7,316
2022,1,2,12,0,-7.6000000000000005,0,0,-15.5,4,112.84,53.18,0.4,3.3000000000000003,306
2022,1,2,13,0,-7.6000000000000005,0,0,-15.4,8,100.89,53.82,0.30000000000000004,3.4000000000000004,297
2022,1,2,14,0,-6.7,0,0,-15.100000000000001,5,89.11,51.300000000000004,0.2,3.9000000000000004,293
2022,1,2,15,0,-3.5,186,62,-14.4,8,78.94,42.74,0.2,4.6000000000000005,297
2022,1,2,16,0,-0.1,372,130,-13.5,4,69.77,35.69,0.2,4.7,299
2022,1,2,17,0,2.6,519,519,-13.4,1,62.5,29.61,0.2,4.6000000000000005,294
2022,1,2,18,0,4.6000000000000005,600,600,-13.600000000000001,1,57.870000000000005,25.45,0.30000000000000004,4.2,289
2022,1,2,19,0,6.1000000000000005,624,624,-14,0,56.550000000000004,22.2,0.30000000000000004,3.8000000000000003,286
2022,1,2,20,0,7,582,582,-14.600000000000001,0,58.78,19.740000000000002,0.30000000000000004,3.5,284
2022,1,2,21,0,7.4,476,476,-15.4,0,64.18,18.01,0.30000000000000004,3.1,285
2022,1,2,22,0,6.7,320,320,-13.4,0,72.02,22.330000000000002,0.30000000000000004,2,284
2022,1,2,23,0,3.5,132,132,-11.4,0,81.55,32.63,0.30000000000000004,1.1,274
2022,1,3,0,0,2.3000000000000003,0,0,-14.3,0,92.42,28.23,0.30000000000000004,1.2000000000000002,264
2022,1,3,1,0,1.5,0,0,-14.700000000000001,0,103.96000000000001,28.900000000000002,0.30000000000000004,1.3,263
2022,1,3,2,0,0.7000000000000001,0,0,-15.3,0,116.02,29.19,0.30000000000000004,1.4000000000000001,270
2022,1,3,3,0,0.1,0,0,-15.700000000000001,0,128.38,29.41,0.30000000000000004,1.4000000000000001,278
2022,1,3,4,0,-0.5,0,0,-16,0,140.85,29.84,0.30000000000000004,1.4000000000000001,285
2022,1,3,5,0,-1.4000000000000001,0,0,-15.9,0,153.11,32.14,0.30000000000000004,1.5,287
2022,1,3,6,0,-2.2,0,0,-15.8,0,164.20000000000002,34.5,0.30000000000000004,1.5,286
2022,1,3,7,0,-2.9000000000000004,0,0,-15.700000000000001,0,169.01,36.76,0.30000000000000004,1.6,282
2022,1,3,8,0,-3.2,0,0,-15.3,0,161.6,38.59,0.30000000000000004,1.7000000000000002,279
2022,1,3,9,0,-3.4000000000000004,0,0,-14.9,0,150.02,40.51,0.30000000000000004,1.9000000000000001,280
2022,1,3,10,0,-3.7,0,0,-14.4,0,137.65,43.13,0.30000000000000004,1.9000000000000001,284
2022,1,3,11,0,-4,0,0,-14,0,125.19,45.9,0.30000000000000004,1.9000000000000001,286
2022,1,3,12,0,-4.2,0,0,-13.3,0,112.88,49.01,0.30000000000000004,1.9000000000000001,286
2022,1,3,13,0,-4.3,0,0,-12.700000000000001,0,100.93,52.07,0.30000000000000004,1.9000000000000001,285
2022,1,3,14,0,-2.4000000000000004,0,0,-11.600000000000001,0,89.14,49.15,0.30000000000000004,2.8000000000000003,284
2022,1,3,15,0,0.5,181,181,-10.8,0,78.95,42.480000000000004,0.30000000000000004,3.3000000000000003,278
2022,1,3,16,0,3.8000000000000003,364,364,-10.100000000000001,0,69.76,35.480000000000004,0.30000000000000004,2.7,256
2022,1,3,17,0,7.9,509,509,-13.3,0,62.46,20.66,0.30000000000000004,3.9000000000000004,229
2022,1,3,18,0,9.8,601,601,-13.600000000000001,0,57.800000000000004,17.82,0.30000000000000004,4.5,221
2022,1,3,19,0,11.200000000000001,626,626,-13.3,0,56.45,16.54,0.30000000000000004,5.1000000000000005,218
2022,1,3,20,0,12.100000000000001,584,584,-13,0,58.660000000000004,15.96,0.30000000000000004,5.300000000000001,216
2022,1,3,21,0,12.3,481,481,-12.700000000000001,0,64.04,16.14,0.30000000000000004,5.2,215
2022,1,3,22,0,10.9,324,324,-11.200000000000001,0,71.87,20.05,0.30000000000000004,3.9000000000000004,212
2022,1,3,23,0,5.7,136,136,-8.9,0,81.41,34.06,0.30000000000000004,2.2,207
2022,1,4,0,0,3.5,0,0,-9.9,0,92.27,36.71,0.30000000000000004,2.5,207
2022,1,4,1,0,2.9000000000000004,0,0,-10.5,0,103.82000000000001,36.57,0.30000000000000004,2.8000000000000003,211
2022,1,4,2,0,2.3000000000000003,0,0,-11.100000000000001,0,115.88,36.5,0.30000000000000004,3,216
2022,1,4,3,0,1.8,0,0,-11.700000000000001,0,128.24,36.14,0.30000000000000004,3.3000000000000003,220
2022,1,4,4,0,1.5,0,0,-12.200000000000001,0,140.71,35.410000000000004,0.30000000000000004,3.7,225
2022,1,4,5,0,1.1,0,0,-12.600000000000001,0,152.97,35.25,0.30000000000000004,4.1000000000000005,230
2022,1,4,6,0,0.6000000000000001,0,0,-12.8,0,164.05,35.85,0.30000000000000004,4.3,234
2022,1,4,7,0,-0.1,0,0,-12.8,0,168.92000000000002,37.75,0.2,4.3,239
2022,1,4,8,0,-0.8,0,0,-12.5,0,161.62,40.92,0.30000000000000004,4.2,247
2022,1,4,9,0,-1.5,0,0,-11.9,0,150.06,44.93,0.30000000000000004,3.9000000000000004,253
2022,1,4,10,0,-2,0,0,-11.5,0,137.70000000000002,48.370000000000005,0.30000000000000004,3.8000000000000003,258
2022,1,4,11,0,-2.2,0,0,-11.200000000000001,7,125.24000000000001,50.2,0.30000000000000004,3.9000000000000004,267
2022,1,4,12,0,-2.1,0,0,-11,8,112.93,50.45,0.30000000000000004,4.1000000000000005,276
2022,1,4,13,0,-1.7000000000000002,0,0,-11,8,100.96000000000001,49.14,0.30000000000000004,4.3,281
2022,1,4,14,0,0.1,0,0,-10.9,8,89.17,43.28,0.4,5.1000000000000005,283
2022,1,4,15,0,3.6,179,113,-10.700000000000001,8,78.95,34.28,0.4,5.7,280
2022,1,4,16,0,8.1,361,361,-10.100000000000001,1,69.74,26.47,0.4,5.7,276
2022,1,4,17,0,13.200000000000001,500,500,-9.8,0,62.410000000000004,19.19,0.5,6.5,276
2022,1,4,18,0,17,594,594,-11.100000000000001,0,57.72,13.6,0.4,7.7,280
2022,1,4,19,0,19,620,620,-12.3,1,56.35,10.93,0.4,8.200000000000001,280
2022,1,4,20,0,19.6,579,579,-12.700000000000001,0,58.53,10.19,0.4,8.3,280
2022,1,4,21,0,19.200000000000003,478,478,-12.4,0,63.9,10.620000000000001,0.4,7.7,282
2022,1,4,22,0,17.3,323,323,-10.8,0,71.73,13.61,0.4,5.6000000000000005,283
2022,1,4,23,0,11.600000000000001,136,136,-8.1,0,81.27,24.32,0.4,3.1,282
2022,1,5,0,0,9.1,0,0,-8.3,1,92.13,28.28,0.4,3.3000000000000003,284
2022,1,5,1,0,8.6,0,0,-8.6,0,103.68,28.62,0.5,3.8000000000000003,289
2022,1,5,2,0,7.9,0,0,-8.8,4,115.74000000000001,29.53,0.5,4.4,295
2022,1,5,3,0,7.300000000000001,0,0,-9,8,128.1,30.36,0.5,4.9,300
2022,1,5,4,0,6.6000000000000005,0,0,-8.9,8,140.57,32.05,0.5,5,302
2022,1,5,5,0,5.9,0,0,-8.700000000000001,7,152.82,34.230000000000004,0.5,5,303
2022,1,5,6,0,5.1000000000000005,0,0,-8.5,0,163.9,36.77,0.5,5.2,305
2022,1,5,7,0,4.4,0,0,-8.3,0,168.83,39.160000000000004,0.5,5.1000000000000005,309
2022,1,5,8,0,3.5,0,0,-8,0,161.63,42.800000000000004,0.6000000000000001,4.9,319
2022,1,5,9,0,2.7,0,0,-7.4,0,150.1,47.230000000000004,0.6000000000000001,4.7,335
2022,1,5,10,0,1.9000000000000001,0,0,-6.800000000000001,0,137.75,52.35,0.7000000000000001,4.5,351
2022,1,5,11,0,1.1,0,0,-6.5,0,125.28,56.89,0.7000000000000001,4,3
2022,1,5,12,0,0.2,0,0,-6.4,0,112.97,61.04,0.8,3.3000000000000003,12
2022,1,5,13,0,-0.7000000000000001,0,0,-6.5,0,100.99000000000001,64.82000000000001,0.8,2.7,20
2022,1,5,14,0,0.4,0,0,-6.5,1,89.18,59.63,0.8,3.4000000000000004,27
2022,1,5,15,0,2.8000000000000003,173,173,-7.4,0,78.95,47.11,0.8,4.4,48
2022,1,5,16,0,5,351,351,-8.200000000000001,0,69.72,37.85,0.8,4.3,67
2022,1,5,17,0,7.1000000000000005,494,494,-8.200000000000001,0,62.36,32.82,0.8,3.6,84
2022,1,5,18,0,8.9,582,582,-7.9,0,57.63,29.75,0.8,2.9000000000000004,102
2022,1,5,19,0,10.4,611,611,-7.5,0,56.230000000000004,27.66,0.7000000000000001,2.2,129
2022,1,5,20,0,11.600000000000001,571,571,-7.300000000000001,0,58.39,26.04,0.7000000000000001,1.9000000000000001,181
2022,1,5,21,0,12.4,468,468,-7.2,0,63.75,24.91,0.7000000000000001,2.7,219
2022,1,5,22,0,12.100000000000001,317,317,-6.4,0,71.57000000000001,26.900000000000002,0.6000000000000001,2.6,222
2022,1,5,23,0,7.800000000000001,135,135,-4.5,0,81.11,41.45,0.6000000000000001,1.5,199
2022,1,6,0,0,5.800000000000001,0,0,-5.7,0,91.97,43.31,0.6000000000000001,1.9000000000000001,192
2022,1,6,1,0,5.300000000000001,0,0,-6.1000000000000005,0,103.53,43.69,0.6000000000000001,2.1,198
2022,1,6,2,0,4.800000000000001,0,0,-6.2,0,115.59,44.68,0.6000000000000001,2.3000000000000003,214
2022,1,6,3,0,4.4,0,0,-6.300000000000001,0,127.96000000000001,45.660000000000004,0.7000000000000001,2.4000000000000004,229
2022,1,6,4,0,4.2,0,0,-6.4,8,140.42000000000002,46.01,0.7000000000000001,2.6,239
2022,1,6,5,0,4.6000000000000005,0,0,-6.300000000000001,8,152.67000000000002,44.96,0.7000000000000001,3.1,248
2022,1,6,6,0,4,0,0,-6,0,163.74,48.050000000000004,0.8,3,270
2022,1,6,7,0,3.4000000000000004,0,0,-5.5,0,168.72,52.29,0.8,2.7,290
2022,1,6,8,0,2.8000000000000003,0,0,-4.9,0,161.63,56.81,0.9,2.7,319
2022,1,6,9,0,2.2,0,0,-4.7,0,150.13,60.45,0.9,4,350
