Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2263342,-,-,-,33.5,-102.01,0,1009,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Cloud Type,GHI,Dew Point,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Speed,Wind Direction
2023,1,1,0,0,11.700000000000001,0,0,0,2.7,54.2,92.63,1.3,2.1,254
2023,1,1,1,0,10.9,0,1,0,2.6,56.58,104.2,1.2000000000000002,2.2,257
2023,1,1,2,0,10.4,0,1,0,2.6,58.38,116.28,1.2000000000000002,2.5,264
2023,1,1,3,0,9.700000000000001,0,7,0,2.5,61.01,128.66,1.1,2.7,271
2023,1,1,4,0,9.4,0,7,0,2.4000000000000004,61.84,141.15,1.1,2.8000000000000003,276
2023,1,1,5,0,9.700000000000001,0,3,0,2.4000000000000004,60.24,153.45000000000002,1.1,3,280
2023,1,1,6,0,9.8,0,6,0,2.3000000000000003,59.370000000000005,164.61,1.1,3.3000000000000003,282
2023,1,1,7,0,9.5,0,6,0,2.2,60.26,169.35,1.1,3.4000000000000004,283
2023,1,1,8,0,9.3,0,7,0,2.2,61.14,161.65,1.1,3.4000000000000004,284
2023,1,1,9,0,9,0,6,0,2.2,62.61,149.95000000000002,1.1,3.1,285
2023,1,1,10,0,8.6,0,6,0,2.3000000000000003,64.39,137.54,1,2.9000000000000004,285
2023,1,1,11,0,8.3,0,6,0,2.3000000000000003,65.71000000000001,125.06,1,2.8000000000000003,285
2023,1,1,12,0,8,0,6,0,2.2,67.03,112.74000000000001,0.9,2.6,284
2023,1,1,13,0,7.800000000000001,0,6,0,2.3000000000000003,68.01,100.79,0.9,2.4000000000000004,280
2023,1,1,14,0,8.9,0,7,0,2.4000000000000004,63.79,89.04,1,2.7,274
2023,1,1,15,0,10.8,174,6,34,2.7,57.22,78.83,1,3.7,269
2023,1,1,16,0,12.600000000000001,349,7,259,3.1,52.25,69.66,1.1,3.3000000000000003,262
2023,1,1,17,0,15.100000000000001,486,7,364,3.7,46.43,62.39,1.2000000000000002,2.9000000000000004,249
2023,1,1,18,0,18.8,572,7,372,3.7,36.730000000000004,57.78,1.2000000000000002,4,252
2023,1,1,19,0,20.700000000000003,594,7,384,3.1,31.37,56.49,1.3,4.3,243
2023,1,1,20,0,21.200000000000003,555,6,135,2.5,29.07,58.75,1.2000000000000002,4.4,234
2023,1,1,21,0,20.900000000000002,453,7,344,2.4000000000000004,29.45,64.18,1.2000000000000002,3.8000000000000003,230
2023,1,1,22,0,18.6,301,6,52,4.3,38.79,72.05,1.2000000000000002,2,224
2023,1,1,23,0,14.600000000000001,121,7,62,3.5,47.43,81.62,1.2000000000000002,1.7000000000000002,218
2023,1,2,0,0,12.9,0,7,0,2.9000000000000004,50.5,92.5,1.3,1.9000000000000001,213
2023,1,2,1,0,12.4,0,7,0,2.9000000000000004,52.480000000000004,104.06,1.3,1.9000000000000001,210
2023,1,2,2,0,11.9,0,6,0,3.1,55,116.14,1.3,1.9000000000000001,206
2023,1,2,3,0,11.4,0,7,0,3.5,58.2,128.52,1.4000000000000001,1.9000000000000001,202
2023,1,2,4,0,11,0,6,0,4,61.81,141.01,1.4000000000000001,2.1,195
2023,1,2,5,0,10.5,0,7,0,4.4,66.07000000000001,153.32,1.4000000000000001,2.3000000000000003,187
2023,1,2,6,0,9.9,0,7,0,4.800000000000001,70.42,164.47,1.4000000000000001,2.6,184
2023,1,2,7,0,9.4,0,7,0,4.800000000000001,72.82000000000001,169.28,1.4000000000000001,2.9000000000000004,186
2023,1,2,8,0,8.9,0,6,0,4.5,73.98,161.68,1.4000000000000001,3.1,188
2023,1,2,9,0,8.200000000000001,0,6,0,4.4,76.73,150.01,1.4000000000000001,3,194
2023,1,2,10,0,8.1,0,9,0,4.3,76.93,137.61,1.5,3.3000000000000003,216
2023,1,2,11,0,8.3,0,6,0,4.1000000000000005,74.68,125.12,1.6,3.5,241
2023,1,2,12,0,8,0,6,0,3.8000000000000003,74.84,112.8,1.6,2.4000000000000004,258
2023,1,2,13,0,8,0,6,0,3.6,73.87,100.83,1.5,2,264
2023,1,2,14,0,9,0,6,0,3.6,68.96000000000001,89.08,1.4000000000000001,2.2,264
2023,1,2,15,0,11.5,171,6,54,4,59.94,78.84,1.3,3.3000000000000003,266
2023,1,2,16,0,14.700000000000001,346,3,252,4.6000000000000005,50.72,69.66,1.2000000000000002,5,270
2023,1,2,17,0,17.6,485,0,485,3.1,37.97,62.36,1.1,6.800000000000001,269
2023,1,2,18,0,18.400000000000002,570,0,570,2,33.36,57.72,1.1,7.7,258
2023,1,2,19,0,18.1,594,5,434,1.4000000000000001,32.57,56.4,1.2000000000000002,8.4,253
2023,1,2,20,0,17,555,5,39,0.6000000000000001,33.05,58.64,1.2000000000000002,8.9,251
2023,1,2,21,0,15.8,460,8,8,-1.2000000000000002,31.16,64.05,0.9,9,250
2023,1,2,22,0,14.5,313,7,63,-4.9,25.810000000000002,71.91,0.6000000000000001,8.8,250
2023,1,2,23,0,12.100000000000001,130,7,67,-7.6000000000000005,24.55,81.48,0.5,7.5,254
2023,1,3,0,0,9.3,0,8,0,-7.300000000000001,30.330000000000002,92.36,0.5,5.4,260
2023,1,3,1,0,7.5,0,8,0,-6.2,37.26,103.93,0.5,4.1000000000000005,261
2023,1,3,2,0,6.5,0,4,0,-5.2,42.86,116,0.5,3.8000000000000003,260
2023,1,3,3,0,5.9,0,1,0,-4.7,46.44,128.39000000000001,0.6000000000000001,3.8000000000000003,253
2023,1,3,4,0,5.4,0,1,0,-4.5,49.03,140.88,0.6000000000000001,4.1000000000000005,247
2023,1,3,5,0,5,0,1,0,-4.2,51.410000000000004,153.18,0.6000000000000001,4.5,245
2023,1,3,6,0,4.5,0,1,0,-3.9000000000000004,54.44,164.33,0.6000000000000001,4.800000000000001,246
2023,1,3,7,0,3.9000000000000004,0,0,0,-3.6,58.27,169.21,0.6000000000000001,4.800000000000001,251
2023,1,3,8,0,3.4000000000000004,0,0,0,-3.3000000000000003,61.480000000000004,161.71,0.6000000000000001,4.7,255
2023,1,3,9,0,3,0,0,0,-3.2,63.89,150.06,0.6000000000000001,4.800000000000001,259
2023,1,3,10,0,2.7,0,1,0,-3.1,65.7,137.66,0.6000000000000001,4.800000000000001,262
2023,1,3,11,0,2.3000000000000003,0,0,0,-3,67.96000000000001,125.17,0.6000000000000001,4.6000000000000005,264
2023,1,3,12,0,2.1,0,1,0,-2.9000000000000004,69.35000000000001,112.85000000000001,0.7000000000000001,4.7,265
2023,1,3,13,0,2.4000000000000004,0,4,0,-2.8000000000000003,68.37,100.87,0.7000000000000001,4.7,267
2023,1,3,14,0,3.4000000000000004,0,7,0,-2.7,64.15,89.09,0.7000000000000001,4.800000000000001,265
2023,1,3,15,0,5.300000000000001,175,6,52,-2.6,56.88,78.85000000000001,0.8,4.800000000000001,264
2023,1,3,16,0,8.9,354,8,166,-3.2,42.300000000000004,69.65,0.8,6.4,277
2023,1,3,17,0,11.4,499,8,377,-4.7,32.19,62.32,0.7000000000000001,7.2,283
2023,1,3,18,0,12.700000000000001,587,0,587,-5.800000000000001,27.05,57.65,0.7000000000000001,7.7,281
2023,1,3,19,0,13.3,612,0,612,-6.9,23.990000000000002,56.300000000000004,0.7000000000000001,8.1,282
2023,1,3,20,0,13.5,571,0,571,-7.6000000000000005,22.400000000000002,58.51,0.7000000000000001,8.200000000000001,281
2023,1,3,21,0,13.200000000000001,468,0,468,-7.7,22.61,63.910000000000004,0.7000000000000001,8,279
2023,1,3,22,0,12.5,314,1,314,-7.2,24.650000000000002,71.77,0.7000000000000001,7,278
2023,1,3,23,0,10,130,0,130,-6.1000000000000005,31.76,81.34,0.7000000000000001,4.5,279
2023,1,4,0,0,7.9,0,0,0,-5.300000000000001,38.89,92.21000000000001,0.8,3.7,284
2023,1,4,1,0,7.2,0,3,0,-4.9,42.02,103.79,0.8,3.7,288
2023,1,4,2,0,6.300000000000001,0,7,0,-4.5,46.01,115.87,0.8,3.4000000000000004,287
2023,1,4,3,0,5.6000000000000005,0,1,0,-4.1000000000000005,49.51,128.25,0.8,3.2,282
2023,1,4,4,0,5.1000000000000005,0,1,0,-3.8000000000000003,52.49,140.74,0.8,3.5,276
2023,1,4,5,0,4.6000000000000005,0,0,0,-3.4000000000000004,55.97,153.04,0.8,3.9000000000000004,273
2023,1,4,6,0,4.1000000000000005,0,1,0,-3.1,59.45,164.19,0.7000000000000001,4.4,273
2023,1,4,7,0,3.6,0,1,0,-3,62.02,169.12,0.7000000000000001,4.6000000000000005,273
2023,1,4,8,0,3.8000000000000003,0,3,0,-3.2,60.42,161.72,0.6000000000000001,5.300000000000001,276
2023,1,4,9,0,4,0,1,0,-3.3000000000000003,58.78,150.11,0.6000000000000001,6,279
2023,1,4,10,0,4,0,1,0,-3.2,59.42,137.71,0.5,6.300000000000001,283
2023,1,4,11,0,3.7,0,0,0,-2.9000000000000004,61.83,125.23,0.5,6.2,288
2023,1,4,12,0,3.1,0,0,0,-2.9000000000000004,64.97,112.89,0.5,5.6000000000000005,288
2023,1,4,13,0,2.4000000000000004,0,4,0,-2.9000000000000004,67.98,100.91,0.5,5,287
2023,1,4,14,0,2.8000000000000003,0,4,0,-2.9000000000000004,66.28,89.11,0.5,5,284
