Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2756080,-,-,-,35.66,-97.47,0,368,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Dew Point,Cloud Type,Solar Zenith Angle,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction
2023,1,1,0,0,8.700000000000001,0,0,3.6,7,96.93,70.16,1.2000000000000002,1.4000000000000001,209
2023,1,1,1,0,8.700000000000001,0,0,3.3000000000000003,0,108.41,68.99,1.2000000000000002,1.4000000000000001,199
2023,1,1,2,0,8.8,0,0,3.3000000000000003,0,120.32000000000001,68.43,1.1,1.3,184
2023,1,1,3,0,8,0,0,3.4000000000000004,0,132.46,72.58,1.1,1.4000000000000001,169
2023,1,1,4,0,6.7,0,0,3.6,0,144.58,80.60000000000001,1.2000000000000002,1.5,165
2023,1,1,5,0,6.300000000000001,0,0,4.1000000000000005,0,156.18,85.75,1.2000000000000002,1.6,168
2023,1,1,6,0,6.2,0,0,4.7,7,165.45000000000002,90.29,1.3,1.7000000000000002,172
2023,1,1,7,0,6.300000000000001,0,0,5.300000000000001,7,166.08,93.27,1.4000000000000001,1.9000000000000001,173
2023,1,1,8,0,6.300000000000001,0,0,5.7,7,157.34,95.67,1.5,2.2,176
2023,1,1,9,0,6.4,0,0,5.9,7,145.85,96.57000000000001,1.5,2.3000000000000003,184
2023,1,1,10,0,6.300000000000001,0,0,5.9,6,133.75,97.44,1.5,2.4000000000000004,187
2023,1,1,11,0,6.1000000000000005,0,0,5.800000000000001,6,121.60000000000001,98.15,1.6,2.3000000000000003,189
2023,1,1,12,0,6.1000000000000005,0,0,5.7,7,109.64,97.17,1.6,2.5,193
2023,1,1,13,0,5.7,0,0,5.5,7,98.10000000000001,98.48,1.5,2.4000000000000004,200
2023,1,1,14,0,6.5,35,35,5.300000000000001,1,87,92.11,1.5,3.2,211
2023,1,1,15,0,8.6,196,142,5.4,7,77.29,80.16,1.4000000000000001,3.1,219
2023,1,1,16,0,11.600000000000001,354,57,5.7,6,68.92,66.94,1.4000000000000001,2.9000000000000004,223
2023,1,1,17,0,14.700000000000001,473,373,5.9,7,62.64,55.64,1.4000000000000001,3.1,236
2023,1,1,18,0,17.2,537,434,6.300000000000001,7,59.15,48.800000000000004,1.4000000000000001,3.3000000000000003,244
2023,1,1,19,0,18.8,540,540,6.6000000000000005,1,58.95,44.83,1.4000000000000001,3.5,255
2023,1,1,20,0,19.400000000000002,483,384,6.6000000000000005,3,62.08,43.33,1.4000000000000001,3.3000000000000003,268
2023,1,1,21,0,18.900000000000002,370,288,7.800000000000001,3,68.07000000000001,48.65,1.4000000000000001,2.1,281
2023,1,1,22,0,16.6,215,50,9.3,7,76.23,62.07,1.4000000000000001,0.9,308
2023,1,1,23,0,14.8,51,32,6.1000000000000005,7,85.84,56.08,1.4000000000000001,0.8,3
