Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2758210,-,-,-,35.22,-97.45,0,360,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Cloud Type,Dew Point,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Speed,Wind Direction
2021,1,1,0,0,-0.4,0,0,9,-2.5,85.46000000000001,96.7,2.3000000000000003,7,22
2021,1,1,1,0,-0.4,0,0,9,-2.1,88.13,108.23,2.4000000000000004,7.6000000000000005,22
2021,1,1,2,0,-0.30000000000000004,0,0,9,-1.8,89.49,120.21000000000001,2.4000000000000004,7.7,21
2021,1,1,3,0,-0.30000000000000004,0,0,6,-1.6,90.91,132.41,2.5,7.800000000000001,21
2021,1,1,4,0,-0.1,0,0,6,-1.3,91.35000000000001,144.61,2.4000000000000004,7.4,29
2021,1,1,5,0,-0.2,0,0,5,-1.1,93.84,156.32,2.2,7.4,33
2021,1,1,6,0,-0.30000000000000004,0,0,8,-1,95.37,165.77,2,6.800000000000001,28
2021,1,1,7,0,-0.5,0,0,6,-1,96.44,166.45000000000002,1.7000000000000002,5.9,17
2021,1,1,8,0,-0.7000000000000001,0,0,7,-1.2000000000000002,96.32000000000001,157.54,1.5,5.5,7
2021,1,1,9,0,-1,0,0,7,-1.5,96.13,145.95000000000002,1.5,5.5,359
2021,1,1,10,0,-1.3,0,0,4,-1.8,96.12,133.77,1.5,5.5,355
2021,1,1,11,0,-1.5,0,0,8,-2.1,95.72,121.55,1.4000000000000001,5.6000000000000005,353
2021,1,1,12,0,-1.7000000000000002,0,0,4,-2.3000000000000003,95.4,109.54,1.4000000000000001,5.800000000000001,351
2021,1,1,13,0,-1.9000000000000001,0,0,4,-2.6,95.14,97.94,1.4000000000000001,5.6000000000000005,348
2021,1,1,14,0,-1.8,32,10,4,-2.6,94.59,86.77,1.4000000000000001,5.300000000000001,344
2021,1,1,15,0,-1.3,188,29,7,-2.1,94.02,76.99,1.4000000000000001,5.5,343
2021,1,1,16,0,-0.6000000000000001,348,89,7,-1.6,92.60000000000001,68.56,1.5,6,348
2021,1,1,17,0,0,474,194,8,-1.3,91.01,62.21,1.5,6,350
2021,1,1,18,0,0.30000000000000004,540,72,5,-1.1,90.39,58.67,1.5,5.6000000000000005,351
2021,1,1,19,0,0.6000000000000001,548,109,4,-0.9,89.73,58.46,1.5,5,354
2021,1,1,20,0,0.9,495,148,4,-0.7000000000000001,89.07000000000001,61.620000000000005,1.4000000000000001,4.1000000000000005,357
2021,1,1,21,0,1,381,91,4,-0.6000000000000001,89.36,67.66,1.4000000000000001,3.1,357
2021,1,1,22,0,0.7000000000000001,224,36,4,-0.6000000000000001,90.9,75.88,1.3,2.2,356
2021,1,1,23,0,-2,55,55,1,-3,92.8,85.55,1.3,1.6,353
2021,1,2,0,0,-3.6,0,0,1,-4.9,90.87,96.56,1.2000000000000002,1.8,353
2021,1,2,1,0,-4.2,0,0,4,-5.6000000000000005,89.91,108.10000000000001,1.2000000000000002,1.9000000000000001,351
2021,1,2,2,0,-4.6000000000000005,0,0,4,-6.2,88.85000000000001,120.07000000000001,1.1,2,349
2021,1,2,3,0,-4.9,0,0,0,-6.7,87.36,132.28,1.1,2,346
2021,1,2,4,0,-5.1000000000000005,0,0,4,-7.1000000000000005,86.10000000000001,144.47,1.1,2,344
2021,1,2,5,0,-5.300000000000001,0,0,4,-7.4,85.05,156.18,1,1.9000000000000001,342
2021,1,2,6,0,-5.5,0,0,4,-7.7,84.56,165.64000000000001,1,1.8,341
2021,1,2,7,0,-5.300000000000001,0,0,4,-7.5,84.63,166.42000000000002,0.9,1.6,341
2021,1,2,8,0,-4.800000000000001,0,0,4,-7,84.33,157.57,0.9,1.5,341
2021,1,2,9,0,-4.5,0,0,4,-6.7,84.7,146,0.9,1.4000000000000001,338
