Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,540005,-,-,-,45.48,-122.81,0,66,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Relative Humidity,Dew Point,Cloud Type,Wind Direction,Wind Speed,Precipitable Water,Solar Zenith Angle
2020,1,1,0,0,8.1,51,8,86.94,6.1000000000000005,6,189,1.9000000000000001,2.8000000000000003,85.38
2020,1,1,1,0,8.1,0,0,89.68,6.5,6,200,1.8,2.8000000000000003,94.22
2020,1,1,2,0,8.3,0,0,91.64,7,6,202,1.8,2.7,103.82000000000001
2020,1,1,3,0,8.6,0,0,92.84,7.5,8,204,2,2.5,114
2020,1,1,4,0,9.200000000000001,0,0,93.84,8.3,8,207,2,2.3000000000000003,124.47
2020,1,1,5,0,9.700000000000001,0,0,94.52,8.9,8,208,1.7000000000000002,2.2,134.89000000000001
2020,1,1,6,0,10.100000000000001,0,0,94.56,9.3,0,215,1.5,2.2,144.73
2020,1,1,7,0,10.4,0,0,94.73,9.600000000000001,0,221,1.3,2.1,152.94
2020,1,1,8,0,10.600000000000001,0,0,94.74,9.8,8,223,1.2000000000000002,2,157.36
2020,1,1,9,0,10.5,0,0,95.09,9.700000000000001,8,227,1,1.9000000000000001,155.72
2020,1,1,10,0,10.200000000000001,0,0,95.28,9.5,4,231,0.8,1.7000000000000002,148.99
2020,1,1,11,0,9.700000000000001,0,0,95.39,9,7,239,0.8,1.5,139.75
2020,1,1,12,0,9.200000000000001,0,0,95.19,8.5,7,242,0.8,1.5,129.52
2020,1,1,13,0,8.700000000000001,0,0,95.5,8,1,240,0.7000000000000001,1.5,119.02
2020,1,1,14,0,8.6,0,0,95.26,7.9,0,236,0.6000000000000001,1.4000000000000001,108.66
2020,1,1,15,0,8.1,0,0,95.76,7.5,1,238,0.6000000000000001,1.4000000000000001,98.73
2020,1,1,16,0,8.5,0,0,94.83,7.7,8,237,0.6000000000000001,1.4000000000000001,89.14
