Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,548995,-,-,-,45.44,-122.65,0,39,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Dew Point,Cloud Type,Solar Zenith Angle,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction
2021,1,1,0,0,7.4,56,35,6.5,8,85.34,93.99,1.7000000000000002,0.5,184
2021,1,1,1,0,7,0,0,6.300000000000001,8,94.2,95.14,1.9000000000000001,0.6000000000000001,177
2021,1,1,2,0,7,0,0,6.2,7,103.81,94.97,2.1,0.6000000000000001,174
2021,1,1,3,0,6.800000000000001,0,0,6,7,114.01,94.79,2.2,0.6000000000000001,173
2021,1,1,4,0,6.7,0,0,6,4,124.49000000000001,95.10000000000001,2.3000000000000003,0.6000000000000001,173
2021,1,1,5,0,6.7,0,0,6,4,134.91,95,2.4000000000000004,0.7000000000000001,170
2021,1,1,6,0,6.6000000000000005,0,0,5.800000000000001,7,144.75,94.62,2.4000000000000004,0.8,166
2021,1,1,7,0,6.6000000000000005,0,0,5.7,5,152.95000000000002,94.12,2.4000000000000004,0.8,164
2021,1,1,8,0,6.6000000000000005,0,0,5.7,7,157.35,93.82000000000001,2.4000000000000004,0.9,165
2021,1,1,9,0,6.800000000000001,0,0,5.7,8,155.67000000000002,92.83,2.3000000000000003,1.1,169
2021,1,1,10,0,7,0,0,5.9,8,148.92000000000002,92.49,2.3000000000000003,1.1,171
2021,1,1,11,0,7.300000000000001,0,0,6.2,4,139.67000000000002,92.44,2.3000000000000003,1.1,177
2021,1,1,12,0,7.5,0,0,6.300000000000001,5,129.43,92.38,2.1,1,175
2021,1,1,13,0,7.7,0,0,6.5,6,118.93,92.21000000000001,1.9000000000000001,0.8,171
2021,1,1,14,0,7.800000000000001,0,0,6.7,7,108.55,92.84,1.8,0.7000000000000001,171
2021,1,1,15,0,8.1,0,0,6.9,6,98.62,92.44,1.8,0.7000000000000001,172
2021,1,1,16,0,8.4,0,0,7.300000000000001,6,89.04,92.53,1.8,0.7000000000000001,173
2021,1,1,17,0,8.8,119,36,7.6000000000000005,6,81.29,92,1.8,0.7000000000000001,177
2021,1,1,18,0,9.4,234,132,7.9,8,74.84,90.61,1.9000000000000001,1,178
2021,1,1,19,0,10,316,115,8.3,4,70.39,89.12,1.9000000000000001,1.2000000000000002,174
2021,1,1,20,0,10.3,353,13,8.4,5,68.41,88.3,1.9000000000000001,1.4000000000000001,170
2021,1,1,21,0,10.200000000000001,336,148,8.3,8,69.11,87.75,2,1.5,169
2021,1,1,22,0,9.8,273,11,7.800000000000001,6,72.41,87.38,2.1,1.6,181
2021,1,1,23,0,9.1,173,7,7.5,6,77.95,89.95,2,1.5,193
2021,1,2,0,0,8.4,56,14,7.1000000000000005,7,85.22,91.55,1.8,1.4000000000000001,195
2021,1,2,1,0,8,0,0,6.9,6,94.07000000000001,92.77,1.7000000000000002,1.3,196
2021,1,2,2,0,7.9,0,0,6.800000000000001,6,103.67,92.86,1.7000000000000002,1.1,197
2021,1,2,3,0,7.4,0,0,6.5,7,113.87,94.32000000000001,1.6,0.8,191
2021,1,2,4,0,7.300000000000001,0,0,6.4,4,124.35000000000001,94.06,1.5,0.9,185
2021,1,2,5,0,7.1000000000000005,0,0,6.300000000000001,4,134.77,94.63,1.5,1,183
2021,1,2,6,0,7,0,0,6.2,4,144.61,94.53,1.5,1,184
