Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,542246,-,-,-,45.3,-122.77,0,44,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Cloud Type,GHI,Dew Point,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Speed,Wind Direction
2021,1,1,0,0,7.7,58,7,25,6.7,93.37,85.19,1.9000000000000001,0.4,184
2021,1,1,1,0,7.4,0,8,0,6.5,94.23,94.06,2.1,0.5,177
2021,1,1,2,0,7.300000000000001,0,7,0,6.4,94.19,103.69,2.2,0.5,174
2021,1,1,3,0,7.1000000000000005,0,7,0,6.2,93.89,113.9,2.3000000000000003,0.5,173
2021,1,1,4,0,7,0,4,0,6.1000000000000005,94.25,124.4,2.4000000000000004,0.6000000000000001,173
2021,1,1,5,0,7.1000000000000005,0,4,0,6.1000000000000005,93.5,134.86,2.4000000000000004,0.7000000000000001,170
2021,1,1,6,0,7,0,4,0,6,93.45,144.74,2.5,0.7000000000000001,166
2021,1,1,7,0,6.9,0,4,0,5.9,93.28,153,2.5,0.7000000000000001,164
2021,1,1,8,0,6.800000000000001,0,7,0,5.800000000000001,93.35000000000001,157.47,2.4000000000000004,0.8,165
2021,1,1,9,0,6.9,0,8,0,5.800000000000001,92.85000000000001,155.84,2.4000000000000004,0.9,169
2021,1,1,10,0,7.2,0,8,0,6,91.92,149.07,2.3000000000000003,0.9,171
2021,1,1,11,0,7.5,0,8,0,6.2,91.5,139.79,2.2,0.9,177
2021,1,1,12,0,7.6000000000000005,0,7,0,6.4,91.86,129.53,2.1,0.8,175
2021,1,1,13,0,7.7,0,7,0,6.5,92.08,119,1.8,0.7000000000000001,171
2021,1,1,14,0,7.9,0,7,0,6.6000000000000005,91.81,108.60000000000001,1.8,0.6000000000000001,171
2021,1,1,15,0,8.1,0,6,0,6.9,91.94,98.64,1.8,0.6000000000000001,172
2021,1,1,16,0,8.4,0,6,0,7.1000000000000005,91.42,89.03,1.8,0.6000000000000001,173
2021,1,1,17,0,8.700000000000001,120,6,51,7.300000000000001,91.07000000000001,81.25,1.8,0.7000000000000001,177
2021,1,1,18,0,9.200000000000001,235,8,54,7.6000000000000005,89.81,74.76,1.9000000000000001,0.9,178
2021,1,1,19,0,9.700000000000001,318,5,40,7.9,88.32000000000001,70.29,1.9000000000000001,1.1,174
2021,1,1,20,0,9.9,354,7,28,8,87.77,68.27,2,1.2000000000000002,170
2021,1,1,21,0,9.8,338,7,135,7.800000000000001,87.61,68.95,2,1.3,169
2021,1,1,22,0,9.5,276,6,21,7.6000000000000005,87.96000000000001,72.24,2.1,1.4000000000000001,181
2021,1,1,23,0,9,176,6,4,7.5,90.06,77.79,2,1.3,193
2021,1,2,0,0,8.4,57,6,16,7.1000000000000005,91.79,85.07000000000001,1.8,1.2000000000000002,195
2021,1,2,1,0,8.200000000000001,0,6,0,7,92.08,93.93,1.7000000000000002,1.1,196
2021,1,2,2,0,8,0,6,0,6.9,92.81,103.55,1.6,0.9,197
2021,1,2,3,0,7.7,0,8,0,6.7,93.25,113.76,1.6,0.7000000000000001,191
2021,1,2,4,0,7.6000000000000005,0,4,0,6.6000000000000005,93.46000000000001,124.27,1.5,0.8,185
2021,1,2,5,0,7.5,0,4,0,6.5,93.56,134.72,1.5,0.9,183
2021,1,2,6,0,7.4,0,4,0,6.4,93.41,144.6,1.5,0.9,184
2021,1,2,7,0,7.300000000000001,0,8,0,6.300000000000001,93.26,152.87,1.5,1,183
2021,1,2,8,0,7.2,0,8,0,6.300000000000001,93.71000000000001,157.37,1.5,1,184
2021,1,2,9,0,7.4,0,4,0,6.5,93.79,155.79,1.6,1.1,184
2021,1,2,10,0,7.7,0,8,0,6.7,93.37,149.07,1.7000000000000002,1.2000000000000002,185
2021,1,2,11,0,7.800000000000001,0,5,0,6.9,93.75,139.81,1.8,1.2000000000000002,189
2021,1,2,12,0,8,0,6,0,7,93.21000000000001,129.55,1.9000000000000001,1.3,192
2021,1,2,13,0,8,0,6,0,7,93.28,119.02,2,1.3,192
2021,1,2,14,0,8,0,6,0,7,93.25,108.62,2.1,1.3,191
2021,1,2,15,0,8.1,0,6,0,7.1000000000000005,93.2,98.65,2.1,1.4000000000000001,191
2021,1,2,16,0,8.3,0,6,0,7.2,92.99,89.03,2.1,1.5,192
2021,1,2,17,0,8.6,114,6,28,7.4,92.37,81.23,2.1,1.6,192
2021,1,2,18,0,8.8,228,6,22,7.6000000000000005,92.09,74.72,2.1,1.8,193
2021,1,2,19,0,9,310,6,17,7.7,91.87,70.22,2.2,1.9000000000000001,193
2021,1,2,20,0,9.1,349,6,31,7.9,91.99,68.19,2.2,1.9000000000000001,193
2021,1,2,21,0,9.3,338,6,69,8,91.42,68.84,2.2,2,195
2021,1,2,22,0,9.4,277,7,98,8,90.72,72.12,2.2,2,197
2021,1,2,23,0,9.200000000000001,175,7,60,7.800000000000001,91.08,77.66,2.2,1.9000000000000001,197
2021,1,3,0,0,9,58,7,14,7.6000000000000005,91.24,84.93,2.2,1.9000000000000001,194
2021,1,3,1,0,8.8,0,7,0,7.5,91.56,93.78,2.2,1.9000000000000001,192
2021,1,3,2,0,8.700000000000001,0,6,0,7.4,91.34,103.41,2.2,1.9000000000000001,190
2021,1,3,3,0,8.700000000000001,0,9,0,7.300000000000001,91.21000000000001,113.62,2.2,2,191
2021,1,3,4,0,8.8,0,6,0,7.5,91.46000000000001,124.12,2.2,2,193
2021,1,3,5,0,9.1,0,7,0,7.7,90.99,134.58,2.2,2.1,197
2021,1,3,6,0,9.3,0,7,0,7.9,90.99,144.46,2.2,2.2,198
